NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION
devopsml6048035691,Storage account,ml-testing,West US 2,DevOps Dev/Test
devopsml7525909514,Key vault,ml-testing,West US 2,DevOps Dev/Test
devopsperfdiag137,Storage account,devops,West Central US,Cashapp Dev/Test
devopsvnet366,Virtual network,devops,West US,Cashapp Dev/Test
devopsvnet875,Virtual network,devops,West US 2,Cashapp Dev/Test
dh-api-devtest,App Service,fa-dev-api,West Central US,Dataapp Dev/Test
dh-api-inbound-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-inbound-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-ingestion-core-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-ingestion-core-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-metadata-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-metadata-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-msgbus-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-msgbus-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-outbound-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-outbound-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-report-data-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-report-data-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-reports-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-reports-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-security-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-security-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-workflow-csdev,App Service,usdt-Dataapp-csdev-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-api-workflow-test,App Service,usdt-Dataapp-test-apps-centralus-rg-001,Central US,Dataapp Dev/Test
dh-cosmosdb-dev,Azure Cosmos DB account,fa-dev-data,Central US,Dataapp Dev/Test
dh-datafactory-dev,Data factory (V2),fa-dev-data,Central US,Dataapp Dev/Test
dh-dev-admin-console,App Service,fa-dev-api,Central US,Dataapp Dev/Test
dh-dev-sso-portal,App Service,fa-dev-api,Central US,Dataapp Dev/Test
dh-devops-identity,Managed Identity,usdt-aks-devops-centralus-rg-01,Central US,DevOps Dev/Test
dh-sftp-csdev-nic,Network Interface,usdt-Dataapp-csdev-sftp-centralus-rg-001,Central US,Dataapp Dev/Test
dh-sftp-csdev-vm,Virtual machine,usdt-Dataapp-csdev-sftp-centralus-rg-001,Central US,Dataapp Dev/Test
dh-sftp-csdev-vm_disk1_64c1346a6199466c9fe2de669dfb3dc6,Disk,usdt-Dataapp-csdev-sftp-centralus-rg-001,Central US,Dataapp Dev/Test
dh-sftp-qa-nic,Network Interface,fa-qa-sftp-rg-001,Central US,Dataapp Dev/Test
dh-sftp-qa-vm,Virtual machine,fa-qa-sftp-rg-001,Central US,Dataapp Dev/Test
dh-sftp-qa-vm_OsDisk_1_7324da026c794272b9507c427d4a9684,Disk,fa-qa-sftp-rg-001,Central US,Dataapp Dev/Test
dh-sftp-test-nic,Network Interface,usdt-Dataapp-test-sftp-centralus-rg-001,Central US,Dataapp Dev/Test
dh-sftp-test-vm,Virtual machine,usdt-Dataapp-test-sftp-centralus-rg-001,Central US,Dataapp Dev/Test
dh-sftp-test-vm_OsDisk_1_087675a4705f49da9b5a1bdc964492ab,Disk,usdt-Dataapp-test-sftp-centralus-rg-001,Central US,Dataapp Dev/Test
dh-shared-log-analytics,Log Analytics workspace,defaultresourcegroup-cus,Central US,Dataapp Dev/Test
dh-splunk-events-dev,Event Hubs Namespace,splunk_logging,West Central US,Dataapp Dev/Test
dh-test-platform-config,App Configuration,usdt-Dataapp-test-security-centralus-rg-001,Central US,Dataapp Dev/Test
dhcommon (fadhsqlserverdev/dhcommon),SQL database,fa-dev-data,Central US,Dataapp Dev/Test
dhcommon (fadhsqlserverqa/dhcommon),SQL database,fa-qa-data,Central US,Dataapp Dev/Test
dhcommon (fadhsqlserveruat/dhcommon),SQL database,fa-uat-data,Central US,Dataapp Dev/Test
dhcommon (usdtdhcsdevsql01/dhcommon),SQL database,usdt-Dataapp-csdev-data-centralus-rg-001,Central US,Dataapp Dev/Test
dhcommon (dhsqlsrvtest/dhcommon),SQL database,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test
dhcsdevcentralus-logic,Logic app,usdt-Dataapp-csdev-logic-centralus-rg-001,Central US,Dataapp Dev/Test
dhcsdevsftpdiag,Storage account,usdt-Dataapp-csdev-sftp-centralus-rg-001,Central US,Dataapp Dev/Test
dhdevops,Storage account,Dataapp-devops,Central US,Dataapp Dev/Test
dhdevsqlpool0001 (fadhsqlserverdev/dhdevsqlpool0001),SQL elastic pool,fa-dev-data,Central US,Dataapp Dev/Test
dhlakedev,Data Lake Analytics,fa-dev-data,Central US,Dataapp Dev/Test
dhlakedevadls,Data Lake Storage Gen1,fa-dev-data,Central US,Dataapp Dev/Test
dhmaster (fadhsqlserverdev/dhmaster),SQL database,fa-dev-data,Central US,Dataapp Dev/Test
dhmaster (fadhsqlserverqa/dhmaster),SQL database,fa-qa-data,Central US,Dataapp Dev/Test
dhmaster (fadhsqlserveruat/dhmaster),SQL database,fa-uat-data,Central US,Dataapp Dev/Test
dhmaster (usdtdhcsdevsql01/dhmaster),SQL database,usdt-Dataapp-csdev-data-centralus-rg-001,Central US,Dataapp Dev/Test
dhmaster (dhsqlsrvtest/dhmaster),SQL database,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test
dhmaster_2020-11-19T21-00Z (fadhsqlserverdev/dhmaster_2020-11-19T21-00Z),SQL database,fa-dev-data,Central US,Dataapp Dev/Test
dhptsbustest,Service Bus Namespace,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test
dhqasftpdiag,Storage account,fa-qa-sftp-rg-001,Central US,Dataapp Dev/Test
dhsqlsrvtest,SQL server,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test
dhsqlsrvtest-law,Log Analytics workspace,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test
dhtestsftpdiag,Storage account,usdt-Dataapp-test-sftp-centralus-rg-001,Central US,Dataapp Dev/Test
dhtestsqlpool0001 (dhsqlsrvtest/dhtestsqlpool0001),SQL elastic pool,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test
dhuatsqlpool0001 (fadhsqlserveruat/dhuatsqlpool0001),SQL elastic pool,fa-uat-data,Central US,Dataapp Dev/Test
dhworkflow (fadhsqlserverdev/dhworkflow),SQL database,fa-dev-data,Central US,Dataapp Dev/Test
documentdb,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test
dyn48917145f9d05bbe,Storage account,dynamicsdeployments-westus,West US,Dynamics Dev/Test
dynamicsax,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test
dynamicsax,API Connection,ky-hilton-wf,Central US,Dataapp Dev/Test
dynamicsax,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test
dynamicsax,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicsax-1,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test
dynamicsax-1,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test
dynamicsax-10,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicsax-11,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicsax-2,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test
dynamicsax-2,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test
dynamicsax-2,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicsax-3,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test
dynamicsax-3,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test
dynamicsax-3,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicsax-4,API Connection,Company1-cnx-dynamics,West US,Dataapp Dev/Test
dynamicsax-4,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicsax-5,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicsax-6,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicsax-7,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicsax-8,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicsax-9,API Connection,Company1-cnx-erptk,West US,Dataapp Dev/Test
dynamicscrmonline,API Connection,ky-hilton-wf,Central US,Dataapp Dev/Test
embeddedpbiservice,Power BI Embedded,fa-pbi-service-rg,West US,Cashapp Dev/Test
entity-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
entity-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
entity-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
entity-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
entity-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
entity-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
entity-info-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
ERP-Ingestion,Logic app,ky-etl-randd,Central US,Dataapp Dev/Test
events-wingtip-mt-bbfa1,Traffic Manager profile,wingtip-sql-mt-bbfa1,Global,Dataapp Dev/Test
events-wingtip-mt-bbfa1,App Service plan,wingtip-sql-mt-bbfa1,Central US,Dataapp Dev/Test
events-wingtip-mt-bbfa1,App Service,wingtip-sql-mt-bbfa1,Central US,Dataapp Dev/Test
f953c1e7-1177-4309-ad43-d7a185b3c811,Public IP address,mc_usdt-aks-devops-centralus-rg-01_usdt-aks-devops-clstr-01_centralus,Central US,DevOps Dev/Test
fa-admin-console-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-api-inbound-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test
fa-api-inbound-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-api-inbound-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test
fa-api-ingestion-core-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test
fa-api-ingestion-core-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-api-ingestion-core-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test
fa-api-metadata-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test
fa-api-metadata-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-api-metadata-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test
fa-api-msgbus-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test
fa-api-msgbus-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-api-msgbus-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test
fa-api-outbound-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test
fa-api-outbound-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-api-outbound-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test
fa-api-report-data-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test
fa-api-report-data-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-api-report-data-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test
fa-api-reports-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test
fa-api-reports-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-api-reports-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test
fa-api-security-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test
fa-api-security-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-api-security-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test
fa-api-workflow-dev,App Service,fa-dev-api,Central US,Dataapp Dev/Test
fa-api-workflow-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-api-workflow-uat,App Service,fa-uat-api,Central US,Dataapp Dev/Test
fa-appserviceplan-dev,App Service plan,fa-dev-api,Central US,Dataapp Dev/Test
fa-appserviceplan-qa,App Service plan,fa-qa-api,Central US,Dataapp Dev/Test
fa-appserviceplan-uat,App Service plan,fa-uat-api,Central US,Dataapp Dev/Test
fa-Cashapp-dev-nsg,Network security group,fa-tenable-scanner,West US 2,Cashapp Dev/Test
fa-Cashapp-hf,Application Insights,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
fa-Cashapp-qa,Application Insights,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
fa-Cashapp-vault,Key vault,fa-Cashapp-vault,West US 2,Cashapp Dev/Test
fa-contracts-dev,App Service,fa-contracts-dev,West US 2,Cashapp Dev/Test
fa-dev-apis,Application Insights,fa-dev-api,South Central US,Dataapp Dev/Test
fa-dev-law,Log Analytics workspace,fa-dev-api,South Central US,Dataapp Dev/Test
fa-dev-logging,Event Hubs Namespace,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
fa-dev-platform-vault,Key vault,fa-dev-security,West US 2,Dataapp Dev/Test
fa-dev-sftp,Virtual machine,fa-dev-sftp,Central US,Dataapp Dev/Test
fa-dev-sftp-admin,Virtual machine,fa-dev-sftp-admin,Central US,Dataapp Dev/Test
fa-dev-sftp-admin-ip,Public IP address,fa-dev-sftp-admin,Central US,Dataapp Dev/Test
fa-dev-sftp-admin-nsg,Network security group,fa-dev-sftp-admin,Central US,Dataapp Dev/Test
fa-dev-sftp-admin-vnet,Virtual network,fa-dev-sftp-admin,Central US,Dataapp Dev/Test
fa-dev-sftp-admin617,Network Interface,fa-dev-sftp-admin,Central US,Dataapp Dev/Test
fa-dev-sftp-admin_disk1_0f83d68cff504acfb397c93dc99da9eb,Disk,fa-dev-sftp-admin,Central US,Dataapp Dev/Test
fa-dev-sftp-ip,Public IP address,fa-dev-sftp,Central US,Dataapp Dev/Test
fa-dev-sftp-nsg,Network security group,fa-dev-sftp,Central US,Dataapp Dev/Test
fa-dev-sftp-v2,Virtual machine,fa-dev-sftp-v2,Central US,Dataapp Dev/Test
fa-dev-sftp-v2-ip,Public IP address,fa-dev-sftp-v2,Central US,Dataapp Dev/Test
fa-dev-sftp-v2-nsg,Network security group,fa-dev-sftp-v2,Central US,Dataapp Dev/Test
fa-dev-sftp-v2-vnet,Virtual network,fa-dev-sftp-v2,Central US,Dataapp Dev/Test
fa-dev-sftp-v2401,Network Interface,fa-dev-sftp-v2,Central US,Dataapp Dev/Test
fa-dev-sftp-v2_disk1_d3bbf33fa05440cba1627a5ea0bcb115,Disk,fa-dev-sftp-v2,Central US,Dataapp Dev/Test
fa-dev-sftp-vnet,Virtual network,fa-dev-sftp,Central US,Dataapp Dev/Test
fa-dev-sftp830,Network Interface,fa-dev-sftp,Central US,Dataapp Dev/Test
fa-dev-sftp_disk1_43ff81f21704416e8105ed74512311f2,Disk,fa-dev-sftp,Central US,Dataapp Dev/Test
fa-devops-bot,Web App Bot,fa-devops-bot,Global,Cashapp Dev/Test
fa-devops-bot,App Service plan,fa-devops-bot,West US,Cashapp Dev/Test
fa-devops-bot,App Service,fa-devops-bot,West US,Cashapp Dev/Test
fa-devops-bot-LUIS,Language understanding,fa-devops-bot,West US,Cashapp Dev/Test
fa-devops-bot-search,Search service,fa-devops-bot,West US,Cashapp Dev/Test
fa-docker-linux,Virtual machine,devops,West US,Cashapp Dev/Test
fa-docker-linux-ip,Public IP address,devops,West US,Cashapp Dev/Test
fa-docker-linux-nsg,Network security group,devops,West US,Cashapp Dev/Test
fa-docker-linux362,Network Interface,devops,West US,Cashapp Dev/Test
fa-docker-linux_OsDisk_1_e8e7d755020e4747b3b197f45b12a294,Disk,devops,West US,Cashapp Dev/Test
fa-frontend-dev,App Service,ca-dev,West US 2,Cashapp Dev/Test
fa-notification-orchestrator,Logic app,fa-dev-infrastructure,Central US,Dataapp Dev/Test
fa-orchestrator-qa,Logic app,fa-qa-infrastructure,Central US,Dataapp Dev/Test
fa-orchestrator-uat,Logic app,fa-uat-infrastructure,Central US,Dataapp Dev/Test
fa-platform-oms-ws,Log Analytics workspace,fa-dev-infrastructure,East US,Dataapp Dev/Test
fa-platform-orchestrator,Logic app,fa-dev-infrastructure,Central US,Dataapp Dev/Test
fa-portal-dev,App Service,ca-dev,West US 2,Cashapp Dev/Test
fa-qa-apis,Application Insights,fa-qa-test,West US 2,Dataapp Dev/Test
fa-qa-law,Log Analytics workspace,fa-qa-test,Central US,Dataapp Dev/Test
fa-qa-platform-vault,Key vault,fa-qa-security,Central US,Dataapp Dev/Test
fa-qa-sftp,Virtual machine,fa-qa-sftp,Central US,Dataapp Dev/Test
fa-qa-sftp-ip,Public IP address,fa-qa-sftp,Central US,Dataapp Dev/Test
fa-qa-sftp-nsg,Network security group,fa-qa-sftp,Central US,Dataapp Dev/Test
fa-qa-sftp-vnet,Virtual network,fa-qa-sftp,Central US,Dataapp Dev/Test
fa-qa-sftp321,Network Interface,fa-qa-sftp,Central US,Dataapp Dev/Test
fa-qa-sftp_disk1_10d131ed291540efae5c82ef6caeca58,Disk,fa-qa-sftp,Central US,Dataapp Dev/Test
fa-sso-portal-qa,App Service,fa-qa-api,Central US,Dataapp Dev/Test
fa-tenable-scanner,Virtual machine,fa-tenable-scanner,West US 2,Cashapp Dev/Test
fa-tenable-scanner-ip,Public IP address,fa-tenable-scanner,West US 2,Cashapp Dev/Test
fa-tenable-scanner-nsg,Network security group,fa-tenable-scanner,West US 2,Cashapp Dev/Test
fa-tenable-scanner677,Network Interface,fa-tenable-scanner,West US 2,Cashapp Dev/Test
fa-tenable-scanner_DataDisk_0,Disk,fa-tenable-scanner,West US 2,Cashapp Dev/Test
fa-tenable-scanner_OsDisk_1_cd3bfc7e966841e289a500f48ab76f49,Disk,fa-tenable-scanner,West US 2,Cashapp Dev/Test
fa-uat-apis,Application Insights,fa-uat-test,West US 2,Dataapp Dev/Test
fa-uat-law,Log Analytics workspace,fa-uat-test,West US 2,Dataapp Dev/Test
fa-uat-platform-vault,Key vault,fa-uat-security,Central US,Dataapp Dev/Test
fa-uat-sftp,Virtual machine,fa-uat-sftp,Central US,Dataapp Dev/Test
fa-uat-sftp-ip,Public IP address,fa-uat-sftp,Central US,Dataapp Dev/Test
fa-uat-sftp-nsg,Network security group,fa-uat-sftp,Central US,Dataapp Dev/Test
fa-uat-sftp-vnet,Virtual network,fa-uat-sftp,Central US,Dataapp Dev/Test
fa-uat-sftp247,Network Interface,fa-uat-sftp,Central US,Dataapp Dev/Test
fa-uat-sftp_disk1_f3477d01713343ebb886b7f97b63e7a5,Disk,fa-uat-sftp,Central US,Dataapp Dev/Test
fa99teststorage,Storage account,terraform-test,West US 3,DevOps Dev/Test
faapplogging,Storage account,Cashapp-ase,West Central US,Cashapp Dev/Test
fadeploy,Web App Bot,deploy-bot,Global,Cashapp Dev/Test
fadeploy,App Service plan,deploy-bot,West US 2,Cashapp Dev/Test
fadeploy,App Service,deploy-bot,West US 2,Cashapp Dev/Test
fadeployb83c,Storage account,deploy-bot,West US 2,Cashapp Dev/Test
fadevcentralus-logic,Logic app,fa-dev-logic,Central US,Dataapp Dev/Test
fadevcentralus-sample-sb-conn,Logic app,fa-dev-sample-sb-conn,Central US,Cashapp Dev/Test
fadevkeyvaultlogs,Storage account,fa-dev-logging,West US 2,Dataapp Dev/Test
fadevops,Storage account,Cashapp-ase,West Central US,Cashapp Dev/Test
fadevopsbot,Storage account,fa-devops-bot,West US,Cashapp Dev/Test
fadevsftpadmindiag,Storage account,fa-dev-sftp-admin,Central US,Dataapp Dev/Test
fadevsftpdiag,Storage account,fa-dev-sftp,Central US,Dataapp Dev/Test
fadevsftpv2diag,Storage account,fa-dev-sftp-v2,Central US,Dataapp Dev/Test
fadhsqlpoolqa0001 (fadhsqlserverqa/fadhsqlpoolqa0001),SQL elastic pool,fa-qa-data,Central US,Dataapp Dev/Test
fadhsqlserverdev,SQL server,fa-dev-data,Central US,Dataapp Dev/Test
fadhsqlserverdev-law,Log Analytics workspace,fa-dev-data,Central US,Dataapp Dev/Test
fadhsqlserverqa,SQL server,fa-qa-data,Central US,Dataapp Dev/Test
fadhsqlserverqa-law,Log Analytics workspace,fa-qa-data,Central US,Dataapp Dev/Test
fadhsqlserveruat,SQL server,fa-uat-data,Central US,Dataapp Dev/Test
fadhsqlserveruat-law,Log Analytics workspace,fa-uat-data,Central US,Dataapp Dev/Test
fadhstoragedev,Storage account,fa-dev-data,Central US,Dataapp Dev/Test
fadhstoragedev-52a08834-9aeb-428d-be3f-d69faad63827,Event Grid System Topic,fa-dev-data,Central US,Dataapp Dev/Test
fadhstoragetest,Storage account,usdt-Dataapp-test-data-centralus-rg-001,Central US,Dataapp Dev/Test
fadhstoragetest-pe,Private endpoint,usdt-Dataapp-test-sftp-centralus-rg-001,Central US,Dataapp Dev/Test
fadhstoragetest-pe.nic.b6603a77-4f7c-4045-aa41-54a4f58c5964,Network Interface,usdt-Dataapp-test-sftp-centralus-rg-001,Central US,Dataapp Dev/Test
faef932b-c10d-411a-ac08-b9c3d8ade059-dashboard (Cashapp Hotfix Dashboard),Shared dashboard,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
faitaasetdashds,Storage account,fa_it_asset_dash_rg,West US,Cashapp Dev/Test
faplatform,Container registry,fa-docker,West US 2,Dataapp Dev/Test
faptanalyticsqa,Data Lake Analytics,fa-qa-data,Central US,Dataapp Dev/Test
faptanalyticsuat,Data Lake Analytics,fa-uat-data,Central US,Dataapp Dev/Test
faptcosmosqa,Azure Cosmos DB account,fa-qa-data,Central US,Dataapp Dev/Test
faptcosmosuat,Azure Cosmos DB account,fa-uat-data,Central US,Dataapp Dev/Test
faptdlstoreqa,Data Lake Storage Gen1,fa-qa-data,Central US,Dataapp Dev/Test
faptdlstoreuat,Data Lake Storage Gen1,fa-uat-data,Central US,Dataapp Dev/Test
faptsbqa,Service Bus Namespace,fa-qa-data,Central US,Dataapp Dev/Test
faptsbuat,Service Bus Namespace,fa-uat-data,Central US,Dataapp Dev/Test
faptsbusdev,Service Bus Namespace,fa-dev-data,Central US,Dataapp Dev/Test
faptstorageqa,Storage account,fa-qa-data,Central US,Dataapp Dev/Test
faptstorageqa-pe,Private endpoint,fa-qa-sftp-rg-001,Central US,Dataapp Dev/Test
faptstorageqa-pe.nic.a4f245f0-1d2b-4e6f-bf2f-97a8369cacac,Network Interface,fa-qa-sftp-rg-001,Central US,Dataapp Dev/Test
faptstorageuat,Storage account,fa-uat-data,Central US,Dataapp Dev/Test
faqacentralus-logic,Logic app,fa-qa-logic,Central US,Dataapp Dev/Test
faqasftpdiag,Storage account,fa-qa-sftp,Central US,Dataapp Dev/Test
fareporttest,Storage account,reporttest,West US 2,Dataapp Dev/Test
fasqllogs,Storage account,sf-data-dev,West Central US,Cashapp Dev/Test
fatenablescannerdiag,Storage account,fa-tenable-scanner,West US 2,Cashapp Dev/Test
fatrdssds01,Storage account,tr_dss,West US,Cashapp Dev/Test
fauatcentralus-logic,Logic app,fa-uat-logic,Central US,Dataapp Dev/Test
fauatsftpdiag,Storage account,fa-uat-sftp,Central US,Dataapp Dev/Test
fftch-income-actuals-loadtest (fadhsqlserverdev/fftch-income-actuals-loadtest),SQL database,fa-dev-data,Central US,Dataapp Dev/Test
fireapps,Container registry,Cashapp-docker,West Central US,Cashapp Dev/Test
fireappsdocker,Container registry,dockerregistry,West US 2,Cashapp Dev/Test
fireappsdocker,Storage account,Cashapp-docker,West Central US,Cashapp Dev/Test
forecast analysis-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
forecast-analysis-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
forecast-analysis-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
forecast-analysis-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
forecast-analysis-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
forecast-analysis-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
forecast-analysis-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
forecast-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
forecast-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
forecast-data-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
forecast-data-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
forecast-data-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
forecast-data-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
forecast-data-info-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
forecast-data-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
forecast-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
forecast-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
forecast-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
forecast-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
forecast-info-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
function712c7a62a9fa,Storage account,Cashapp-ase,West US,Cashapp Dev/Test
gateway-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
gateway-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test
gateway-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test
gateway-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test
gmail,API Connection,fa-dev-infrastructure,Central US,Dataapp Dev/Test
gmail-1,API Connection,fa-dev-infrastructure,Central US,Dataapp Dev/Test
gstevens8A041174-01D4-468A-93CF-B22E0620509A,Network Interface,devops-images,West US 2,Cashapp Dev/Test
gstevens8CFA0572-43CD-4AE4-BF37-9EDD1C613130,Virtual network,devops-images,West US 2,Cashapp Dev/Test
gstevensBAAE2470-A98C-4875-8883-C57C7F2DF68C,Public IP address,devops-images,West US 2,Cashapp Dev/Test
hedge-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test
